location,age_group,date,value,source,week
DE,00+,2018-05-06,0,ECDC,NA
DE,00+,2018-05-13,1,ECDC,NA
DE,00+,2018-05-20,1,ECDC,NA
DE,00+,2018-05-27,1,ECDC,NA
DE,00+,2018-06-03,0,ECDC,NA
DE,00+,2018-06-10,0,ECDC,NA
DE,00+,2018-06-17,0,ECDC,NA
DE,00+,2018-06-24,0,ECDC,NA
DE,00+,2018-07-01,0,ECDC,NA
DE,00+,2018-07-08,0,ECDC,NA
DE,00+,2018-07-15,0,ECDC,NA
DE,00+,2018-07-22,0,ECDC,NA
DE,00+,2018-07-29,0,ECDC,NA
DE,00+,2018-08-05,0,ECDC,NA
DE,00+,2018-08-12,0,ECDC,NA
DE,00+,2018-08-19,0,ECDC,NA
DE,00+,2018-08-26,0,ECDC,NA
DE,00+,2018-09-02,0,ECDC,NA
DE,00+,2018-09-09,0,ECDC,NA
DE,00+,2018-09-16,0,ECDC,NA
DE,00+,2018-09-23,0,ECDC,NA
DE,00+,2018-10-07,0,ECDC,NA
DE,00+,2018-10-14,0,ECDC,NA
DE,00+,2018-10-21,0,ECDC,NA
DE,00+,2018-10-28,0,ECDC,NA
DE,00+,2018-11-04,0,ECDC,NA
DE,00+,2018-11-11,0,ECDC,NA
DE,00+,2018-11-18,2,ECDC,NA
DE,00+,2018-11-25,1,ECDC,NA
DE,00+,2018-12-02,4,ECDC,NA
DE,00+,2018-12-09,5,ECDC,NA
DE,00+,2018-12-16,12,ECDC,NA
DE,00+,2018-12-23,16,ECDC,NA
DE,00+,2018-12-30,7,ECDC,NA
DE,00+,2019-01-06,21,ECDC,NA
DE,00+,2019-01-13,20,ECDC,NA
DE,00+,2019-01-20,35,ECDC,NA
DE,00+,2019-01-27,36,ECDC,NA
DE,00+,2019-02-03,29,ECDC,NA
DE,00+,2019-02-10,37,ECDC,NA
DE,00+,2019-02-17,32,ECDC,NA
DE,00+,2019-02-24,31,ECDC,NA
DE,00+,2019-03-03,21,ECDC,NA
DE,00+,2019-03-10,17,ECDC,NA
DE,00+,2019-03-17,15,ECDC,NA
DE,00+,2019-03-24,9,ECDC,NA
DE,00+,2019-03-31,5,ECDC,NA
DE,00+,2019-04-07,7,ECDC,NA
DE,00+,2019-04-14,1,ECDC,NA
DE,00+,2019-04-21,2,ECDC,NA
DE,00+,2019-04-28,2,ECDC,NA
DE,00+,2019-05-05,0,ECDC,NA
DE,00+,2019-05-12,0,ECDC,NA
DE,00+,2019-05-19,0,ECDC,NA
