location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w
DE,60-79,2024,43,2024-10-27,5,3,0,0,,
DE,60-79,2024,44,2024-11-03,9,2,0,,,
DE,60-79,2024,45,2024-11-10,6,8,,,,
DE,60-79,2024,46,2024-11-17,5,,,,,
DE,80+,2024,21,2024-05-26,9,2,0,0,0,0
DE,80+,2024,22,2024-06-02,11,3,0,0,0,0
DE,80+,2024,23,2024-06-09,4,5,0,0,0,0
DE,80+,2024,24,2024-06-16,5,1,1,0,0,0
DE,80+,2024,25,2024-06-23,4,3,0,0,0,0
DE,80+,2024,26,2024-06-30,3,6,0,0,0,0
DE,80+,2024,27,2024-07-07,8,1,0,0,0,0
DE,80+,2024,28,2024-07-14,5,0,0,0,0,0
DE,80+,2024,29,2024-07-21,0,2,0,0,0,0
DE,80+,2024,30,2024-07-28,1,2,0,0,0,0
DE,80+,2024,31,2024-08-04,0,3,0,0,0,0
DE,80+,2024,32,2024-08-11,0,1,0,0,0,0
DE,80+,2024,33,2024-08-18,1,1,0,0,0,0
DE,80+,2024,34,2024-08-25,1,3,0,0,0,0
DE,80+,2024,35,2024-09-01,1,0,0,0,0,0
DE,80+,2024,36,2024-09-08,2,1,0,0,0,0
DE,80+,2024,37,2024-09-15,0,0,0,0,0,0
DE,80+,2024,38,2024-09-22,2,3,0,0,0,0
DE,80+,2024,39,2024-09-29,3,6,0,0,0,0
DE,80+,2024,40,2024-10-06,4,0,0,0,0,0
DE,80+,2024,41,2024-10-13,1,1,0,0,0,0
DE,80+,2024,42,2024-10-20,5,2,0,0,0,
DE,80+,2024,43,2024-10-27,2,1,0,0,,
DE,80+,2024,44,2024-11-03,3,4,0,,,
DE,80+,2024,45,2024-11-10,5,1,,,,
DE,80+,2024,46,2024-11-17,2,,,,,
DE-BB-BE,00+,2024,21,2024-05-26,10,10,1,0,0,0
DE-BB-BE,00+,2024,22,2024-06-02,7,9,0,0,0,0
DE-BB-BE,00+,2024,23,2024-06-09,3,1,1,0,0,0
DE-BB-BE,00+,2024,24,2024-06-16,2,0,0,0,0,0
DE-BB-BE,00+,2024,25,2024-06-23,4,4,0,0,0,0
DE-BB-BE,00+,2024,26,2024-06-30,4,3,0,0,0,0
DE-BB-BE,00+,2024,27,2024-07-07,6,1,0,0,0,0
DE-BB-BE,00+,2024,28,2024-07-14,7,1,1,0,0,0
DE-BB-BE,00+,2024,29,2024-07-21,0,3,0,0,0,0
DE-BB-BE,00+,2024,30,2024-07-28,1,2,0,0,0,0
DE-BB-BE,00+,2024,31,2024-08-04,0,0,0,0,0,0
DE-BB-BE,00+,2024,32,2024-08-11,1,5,0,0,0,0
DE-BB-BE,00+,2024,33,2024-08-18,2,0,1,0,0,0
DE-BB-BE,00+,2024,34,2024-08-25,2,0,0,0,0,0
DE-BB-BE,00+,2024,35,2024-09-01,1,0,0,0,0,0
DE-BB-BE,00+,2024,36,2024-09-08,1,0,0,1,0,0
DE-BB-BE,00+,2024,37,2024-09-15,0,2,0,0,0,0
DE-BB-BE,00+,2024,38,2024-09-22,1,2,0,0,0,0
DE-BB-BE,00+,2024,39,2024-09-29,1,2,0,0,0,0
DE-BB-BE,00+,2024,40,2024-10-06,1,0,0,0,0,0
DE-BB-BE,00+,2024,41,2024-10-13,1,1,0,0,0,0
DE-BB-BE,00+,2024,42,2024-10-20,1,4,0,0,0,
DE-BB-BE,00+,2024,43,2024-10-27,2,4,0,0,,
DE-BB-BE,00+,2024,44,2024-11-03,4,5,1,,,
DE-BB-BE,00+,2024,45,2024-11-10,8,2,,,,
DE-BB-BE,00+,2024,46,2024-11-17,6,,,,,
DE-BW,00+,2024,21,2024-05-26,3,1,1,0,0,0
DE-BW,00+,2024,22,2024-06-02,1,2,0,0,0,0
DE-BW,00+,2024,23,2024-06-09,6,1,0,0,0,0
DE-BW,00+,2024,24,2024-06-16,1,1,0,0,0,0
DE-BW,00+,2024,25,2024-06-23,4,1,0,0,0,0
DE-BW,00+,2024,26,2024-06-30,1,3,0,0,0,0
DE-BW,00+,2024,27,2024-07-07,7,3,0,0,0,0
DE-BW,00+,2024,28,2024-07-14,2,2,0,0,0,0
DE-BW,00+,2024,29,2024-07-21,1,2,0,0,0,0
DE-BW,00+,2024,30,2024-07-28,1,2,0,0,0,0
DE-BW,00+,2024,31,2024-08-04,3,0,0,0,0,0
DE-BW,00+,2024,32,2024-08-11,3,1,0,0,0,0
DE-BW,00+,2024,33,2024-08-18,1,1,0,0,0,0
DE-BW,00+,2024,34,2024-08-25,1,0,0,0,0,0
DE-BW,00+,2024,35,2024-09-01,1,1,0,0,0,0
DE-BW,00+,2024,36,2024-09-08,0,2,0,0,0,0
DE-BW,00+,2024,37,2024-09-15,0,0,0,0,0,0
DE-BW,00+,2024,38,2024-09-22,3,0,0,0,0,0
DE-BW,00+,2024,39,2024-09-29,4,0,0,0,0,0
DE-BW,00+,2024,40,2024-10-06,1,3,0,0,0,0
DE-BW,00+,2024,41,2024-10-13,5,3,0,0,0,0
DE-BW,00+,2024,42,2024-10-20,2,2,0,0,0,
DE-BW,00+,2024,43,2024-10-27,2,2,0,0,,
DE-BW,00+,2024,44,2024-11-03,6,1,0,,,
DE-BW,00+,2024,45,2024-11-10,3,6,,,,
DE-BW,00+,2024,46,2024-11-17,3,,,,,
DE-BY,00+,2024,21,2024-05-26,1,4,0,1,0,0
DE-BY,00+,2024,22,2024-06-02,4,2,2,0,0,0
DE-BY,00+,2024,23,2024-06-09,0,3,0,0,0,0
DE-BY,00+,2024,24,2024-06-16,3,2,1,0,0,0
DE-BY,00+,2024,25,2024-06-23,2,1,0,0,0,0
DE-BY,00+,2024,26,2024-06-30,2,4,0,0,0,0
DE-BY,00+,2024,27,2024-07-07,3,1,0,0,0,0
DE-BY,00+,2024,28,2024-07-14,3,1,0,0,0,0
DE-BY,00+,2024,29,2024-07-21,3,3,0,0,0,0
DE-BY,00+,2024,30,2024-07-28,4,2,0,0,0,0
DE-BY,00+,2024,31,2024-08-04,0,5,0,0,0,0
DE-BY,00+,2024,32,2024-08-11,5,1,0,0,0,0
DE-BY,00+,2024,33,2024-08-18,3,2,0,0,0,0
DE-BY,00+,2024,34,2024-08-25,2,1,0,0,0,0
DE-BY,00+,2024,35,2024-09-01,1,1,0,0,0,0
DE-BY,00+,2024,36,2024-09-08,1,0,0,0,0,0
DE-BY,00+,2024,37,2024-09-15,4,0,0,0,0,0
DE-BY,00+,2024,38,2024-09-22,2,3,0,0,0,0
DE-BY,00+,2024,39,2024-09-29,5,0,0,0,0,0
DE-BY,00+,2024,40,2024-10-06,5,0,0,0,0,0
DE-BY,00+,2024,41,2024-10-13,2,2,0,0,0,0
DE-BY,00+,2024,42,2024-10-20,11,5,0,0,0,
DE-BY,00+,2024,43,2024-10-27,10,2,0,0,,
DE-BY,00+,2024,44,2024-11-03,3,3,0,,,
DE-BY,00+,2024,45,2024-11-10,10,8,,,,
DE-BY,00+,2024,46,2024-11-17,9,,,,,
DE-HE,00+,2024,21,2024-05-26,5,0,0,0,0,0
DE-HE,00+,2024,22,2024-06-02,3,0,0,0,0,0
DE-HE,00+,2024,23,2024-06-09,2,0,0,0,0,0
DE-HE,00+,2024,24,2024-06-16,2,0,0,0,0,0
DE-HE,00+,2024,25,2024-06-23,0,1,0,0,0,0
DE-HE,00+,2024,26,2024-06-30,0,0,0,0,0,0
DE-HE,00+,2024,27,2024-07-07,1,0,0,0,0,0
DE-HE,00+,2024,28,2024-07-14,0,0,0,0,0,0
DE-HE,00+,2024,29,2024-07-21,0,0,0,0,0,0
DE-HE,00+,2024,30,2024-07-28,0,1,0,0,0,0
DE-HE,00+,2024,31,2024-08-04,0,0,0,0,0,0
DE-HE,00+,2024,32,2024-08-11,0,1,0,0,0,0
DE-HE,00+,2024,33,2024-08-18,1,0,0,0,0,0
DE-HE,00+,2024,34,2024-08-25,1,1,0,0,0,0
DE-HE,00+,2024,35,2024-09-01,2,1,0,0,0,0
DE-HE,00+,2024,36,2024-09-08,0,2,0,0,0,0
DE-HE,00+,2024,37,2024-09-15,0,0,0,0,0,0
DE-HE,00+,2024,38,2024-09-22,0,0,0,0,0,0
DE-HE,00+,2024,39,2024-09-29,0,0,0,0,0,0
DE-HE,00+,2024,40,2024-10-06,0,0,0,0,0,0
DE-HE,00+,2024,41,2024-10-13,0,2,0,0,0,0
DE-HE,00+,2024,42,2024-10-20,2,0,0,0,0,
DE-HE,00+,2024,43,2024-10-27,1,0,0,0,,
DE-HE,00+,2024,44,2024-11-03,6,2,0,,,
DE-HE,00+,2024,45,2024-11-10,2,1,,,,
DE-HE,00+,2024,46,2024-11-17,8,,,,,
DE-MV,00+,2024,21,2024-05-26,0,1,0,0,0,0
DE-MV,00+,2024,22,2024-06-02,1,1,0,0,0,0
DE-MV,00+,2024,23,2024-06-09,0,1,0,0,0,0
DE-MV,00+,2024,24,2024-06-16,1,0,0,0,0,0
DE-MV,00+,2024,25,2024-06-23,0,0,0,0,0,0
DE-MV,00+,2024,26,2024-06-30,0,1,0,0,0,0
DE-MV,00+,2024,27,2024-07-07,0,0,0,0,0,0
DE-MV,00+,2024,28,2024-07-14,0,0,0,0,0,0
DE-MV,00+,2024,29,2024-07-21,1,1,0,0,0,0
DE-MV,00+,2024,30,2024-07-28,0,0,0,0,0,0
DE-MV,00+,2024,31,2024-08-04,0,0,0,0,0,0
DE-MV,00+,2024,32,2024-08-11,1,1,0,0,0,0
DE-MV,00+,2024,33,2024-08-18,0,0,0,0,0,0
DE-MV,00+,2024,34,2024-08-25,0,0,0,0,0,0
DE-MV,00+,2024,35,2024-09-01,0,0,0,0,0,0
DE-MV,00+,2024,36,2024-09-08,0,0,0,0,0,0
DE-MV,00+,2024,37,2024-09-15,0,0,0,0,0,0
DE-MV,00+,2024,38,2024-09-22,0,0,0,0,0,0
DE-MV,00+,2024,39,2024-09-29,1,1,0,0,0,0
DE-MV,00+,2024,40,2024-10-06,1,0,0,0,0,0
DE-MV,00+,2024,41,2024-10-13,0,0,0,0,0,0
DE-MV,00+,2024,42,2024-10-20,0,0,0,0,0,
DE-MV,00+,2024,43,2024-10-27,0,0,0,0,,
DE-MV,00+,2024,44,2024-11-03,0,0,0,,,
DE-MV,00+,2024,45,2024-11-10,0,0,,,,
DE-MV,00+,2024,46,2024-11-17,0,,,,,
DE-NI-HB,00+,2024,21,2024-05-26,0,3,1,0,0,0
DE-NI-HB,00+,2024,22,2024-06-02,0,4,0,0,0,0
DE-NI-HB,00+,2024,23,2024-06-09,1,0,0,0,0,0
DE-NI-HB,00+,2024,24,2024-06-16,1,2,0,0,0,0
DE-NI-HB,00+,2024,25,2024-06-23,1,0,0,0,0,0
DE-NI-HB,00+,2024,26,2024-06-30,1,0,0,0,0,0
DE-NI-HB,00+,2024,27,2024-07-07,0,0,0,0,0,0
DE-NI-HB,00+,2024,28,2024-07-14,1,0,0,0,0,0
DE-NI-HB,00+,2024,29,2024-07-21,0,0,0,0,0,0
DE-NI-HB,00+,2024,30,2024-07-28,1,0,0,0,0,0
DE-NI-HB,00+,2024,31,2024-08-04,0,0,0,0,0,0
DE-NI-HB,00+,2024,32,2024-08-11,1,1,0,0,0,0
DE-NI-HB,00+,2024,33,2024-08-18,0,1,0,0,0,0
DE-NI-HB,00+,2024,34,2024-08-25,0,0,0,0,0,0
DE-NI-HB,00+,2024,35,2024-09-01,0,0,0,0,0,0
DE-NI-HB,00+,2024,36,2024-09-08,0,0,0,0,0,0
DE-NI-HB,00+,2024,37,2024-09-15,1,0,0,0,0,0
DE-NI-HB,00+,2024,38,2024-09-22,0,0,0,0,0,0
DE-NI-HB,00+,2024,39,2024-09-29,0,0,0,0,0,0
DE-NI-HB,00+,2024,40,2024-10-06,0,0,0,0,0,0
DE-NI-HB,00+,2024,41,2024-10-13,0,0,0,0,0,0
DE-NI-HB,00+,2024,42,2024-10-20,1,2,0,0,0,
DE-NI-HB,00+,2024,43,2024-10-27,5,1,0,0,,
DE-NI-HB,00+,2024,44,2024-11-03,6,1,0,,,
DE-NI-HB,00+,2024,45,2024-11-10,2,5,,,,
DE-NI-HB,00+,2024,46,2024-11-17,1,,,,,
DE-NW,00+,2024,21,2024-05-26,3,1,0,0,0,0
DE-NW,00+,2024,22,2024-06-02,3,1,0,0,0,0
DE-NW,00+,2024,23,2024-06-09,4,2,0,0,0,0
DE-NW,00+,2024,24,2024-06-16,3,1,0,0,0,0
DE-NW,00+,2024,25,2024-06-23,2,2,0,0,0,0
DE-NW,00+,2024,26,2024-06-30,0,1,0,0,0,0
DE-NW,00+,2024,27,2024-07-07,0,3,0,0,0,0
DE-NW,00+,2024,28,2024-07-14,5,0,0,0,0,0
DE-NW,00+,2024,29,2024-07-21,1,3,0,0,0,0
DE-NW,00+,2024,30,2024-07-28,0,1,0,0,0,0
DE-NW,00+,2024,31,2024-08-04,1,0,0,0,0,0
DE-NW,00+,2024,32,2024-08-11,0,3,0,0,0,0
DE-NW,00+,2024,33,2024-08-18,1,1,0,0,0,0
DE-NW,00+,2024,34,2024-08-25,2,1,0,0,0,0
DE-NW,00+,2024,35,2024-09-01,0,2,0,0,0,0
DE-NW,00+,2024,36,2024-09-08,1,2,0,0,0,0
DE-NW,00+,2024,37,2024-09-15,0,1,0,0,0,0
DE-NW,00+,2024,38,2024-09-22,2,3,0,0,0,0
DE-NW,00+,2024,39,2024-09-29,0,2,0,0,0,0
DE-NW,00+,2024,40,2024-10-06,1,0,0,0,0,0
DE-NW,00+,2024,41,2024-10-13,2,0,0,0,0,0
DE-NW,00+,2024,42,2024-10-20,5,2,0,0,0,
DE-NW,00+,2024,43,2024-10-27,3,3,0,0,,
DE-NW,00+,2024,44,2024-11-03,10,4,0,,,
DE-NW,00+,2024,45,2024-11-10,9,4,,,,
DE-NW,00+,2024,46,2024-11-17,8,,,,,
DE-RP-SL,00+,2024,21,2024-05-26,2,1,0,0,0,0
DE-RP-SL,00+,2024,22,2024-06-02,2,0,0,0,0,0
DE-RP-SL,00+,2024,23,2024-06-09,1,1,0,0,0,0
DE-RP-SL,00+,2024,24,2024-06-16,0,1,0,0,0,0
DE-RP-SL,00+,2024,25,2024-06-23,0,0,0,0,0,0
DE-RP-SL,00+,2024,26,2024-06-30,0,0,0,0,0,0
DE-RP-SL,00+,2024,27,2024-07-07,0,1,0,0,0,0
DE-RP-SL,00+,2024,28,2024-07-14,0,0,0,0,0,0
DE-RP-SL,00+,2024,29,2024-07-21,0,1,0,0,0,0
DE-RP-SL,00+,2024,30,2024-07-28,0,0,0,0,0,0
DE-RP-SL,00+,2024,31,2024-08-04,0,0,0,0,0,0
DE-RP-SL,00+,2024,32,2024-08-11,0,0,0,0,0,0
DE-RP-SL,00+,2024,33,2024-08-18,0,0,0,0,0,0
DE-RP-SL,00+,2024,34,2024-08-25,1,1,0,0,0,0
DE-RP-SL,00+,2024,35,2024-09-01,2,0,0,0,0,0
DE-RP-SL,00+,2024,36,2024-09-08,2,1,0,0,0,0
DE-RP-SL,00+,2024,37,2024-09-15,0,0,0,0,0,0
DE-RP-SL,00+,2024,38,2024-09-22,0,0,0,0,0,0
DE-RP-SL,00+,2024,39,2024-09-29,3,0,0,0,0,0
DE-RP-SL,00+,2024,40,2024-10-06,1,1,0,0,0,0
DE-RP-SL,00+,2024,41,2024-10-13,0,1,0,0,0,0
DE-RP-SL,00+,2024,42,2024-10-20,1,2,0,0,0,
DE-RP-SL,00+,2024,43,2024-10-27,0,1,0,0,,
DE-RP-SL,00+,2024,44,2024-11-03,0,2,0,,,
DE-RP-SL,00+,2024,45,2024-11-10,1,1,,,,
DE-RP-SL,00+,2024,46,2024-11-17,2,,,,,
DE-SH-HH,00+,2024,21,2024-05-26,0,3,0,0,0,0
DE-SH-HH,00+,2024,22,2024-06-02,3,0,0,0,0,0
DE-SH-HH,00+,2024,23,2024-06-09,1,0,0,0,0,0
DE-SH-HH,00+,2024,24,2024-06-16,2,0,0,0,0,0
DE-SH-HH,00+,2024,25,2024-06-23,0,0,0,0,0,0
DE-SH-HH,00+,2024,26,2024-06-30,1,0,0,0,0,0
DE-SH-HH,00+,2024,27,2024-07-07,2,3,0,1,0,0
DE-SH-HH,00+,2024,28,2024-07-14,4,0,0,0,0,0
DE-SH-HH,00+,2024,29,2024-07-21,1,0,0,0,0,0
