"stratum","value","week","year","date"
"A00..04",68.1644764730818,7,2022,2022-02-20
"A00..04",79.1578352409213,8,2022,2022-02-27
"A00..04",85.2055955913523,9,2022,2022-03-06
"A00..04",79.1578352409213,10,2022,2022-03-13
"A00..04",67.2036173519853,11,2022,2022-03-20
"A00..04",80.1752154867882,12,2022,2022-03-27
"A00..04",96.1989543591918,13,2022,2022-04-03
"A00..04",65.1829871414441,14,2022,2022-04-10
"A00..04",76.1763459092836,15,2022,2022-04-17
"A00..04",69.1818567189487,16,2022,2022-04-24
"A00..04",57.1711177052424,17,2022,2022-05-01
"A00..04",49.1592482690406,18,2022,2022-05-08
"A00..04",75.1589656634167,19,2022,2022-05-15
"A00..04",73.1807262964533,20,2022,2022-05-22
"A00..04",60.1526070368801,21,2022,2022-05-29
"A00..04",64.1656068955772,22,2022,2022-06-05
"A00..04",68.1644764730818,23,2022,2022-06-12
"A00..04",57.1711177052424,24,2022,2022-06-19
"A05..14",15.204182563233,40,2018,2018-10-07
"A05..14",9.17055249399465,41,2018,2018-10-14
"A05..14",13.1694220714992,42,2018,2018-10-21
"A05..14",14.1868023173661,43,2018,2018-10-28
"A05..14",20.1639112618341,44,2018,2018-11-04
"A05..14",16.1650416843295,45,2018,2018-11-11
"A05..14",15.204182563233,46,2018,2018-11-18
"A05..14",18.1998021760633,47,2018,2018-11-25
"A05..14",22.1986717535679,48,2018,2018-12-02
"A05..14",18.1998021760633,49,2018,2018-12-09
"A05..14",23.1595308746644,50,2018,2018-12-16
"A05..14",22.1986717535679,51,2018,2018-12-23
"A05..14",14.1868023173661,52,2018,2018-12-30
"A05..14",17.1824219301964,1,2019,2019-01-06
"A05..14",13.1694220714992,2,2019,2019-01-13
"A05..14",13.1694220714992,3,2019,2019-01-20
"A05..14",31.1714003108662,4,2019,2019-01-27
"A05..14",32.1746502755405,5,2019,2019-02-03
"A05..14",47.1810089020772,6,2019,2019-02-10
"A05..14",53.1581178465452,7,2019,2019-02-17
"A05..14",51.1940087607744,8,2019,2019-02-24
"A05..14",48.1983891479441,9,2019,2019-03-03
"A05..14",38.1517592200085,10,2019,2019-03-10
"A05..14",33.1920305214074,11,2019,2019-03-17
"A05..14",37.2050303801046,12,2019,2019-03-24
"A05..14",24.1769111205313,13,2019,2019-03-31
"A05..14",29.1931609439028,14,2019,2019-04-07
"A05..14",22.1986717535679,15,2019,2019-04-14
"A05..14",14.1868023173661,16,2019,2019-04-21
"A05..14",12.1520418256324,17,2019,2019-04-28
"A05..14",12.1520418256324,18,2019,2019-05-05
"A05..14",13.1694220714992,19,2019,2019-05-12
