"date","location","age_group","value"
"2021-02-21","DE-NI-HB","00+","22"
"2021-02-28","DE-NI-HB","00+","22"
"2021-03-07","DE-NI-HB","00+","25"
"2021-03-14","DE-NI-HB","00+","27"
"2021-03-21","DE-NI-HB","00+","34"
"2021-03-28","DE-NI-HB","00+","28"
"2021-04-04","DE-NI-HB","00+","18"
"2021-04-11","DE-NI-HB","00+","20"
"2021-04-18","DE-NI-HB","00+","10"
"2021-04-25","DE-NI-HB","00+","15"
"2021-05-02","DE-NI-HB","00+","13"
"2021-05-09","DE-NI-HB","00+","13"
"2020-10-04","DE-NW","00+","5"
"2020-10-11","DE-NW","00+","5"
"2020-10-18","DE-NW","00+","7"
"2020-10-25","DE-NW","00+","5"
"2020-11-01","DE-NW","00+","12"
"2020-11-08","DE-NW","00+","14"
"2020-11-15","DE-NW","00+","21"
"2020-11-22","DE-NW","00+","16"
"2020-11-29","DE-NW","00+","24"
"2020-12-06","DE-NW","00+","35"
"2020-12-13","DE-NW","00+","41"
"2020-12-20","DE-NW","00+","29"
"2020-12-27","DE-NW","00+","3"
"2021-01-03","DE-NW","00+","15"
"2021-01-10","DE-NW","00+","24"
"2021-01-17","DE-NW","00+","24"
"2021-01-24","DE-NW","00+","23"
"2021-01-31","DE-NW","00+","15"
"2021-02-07","DE-NW","00+","18"
"2021-02-14","DE-NW","00+","16"
"2021-02-21","DE-NW","00+","22"
"2021-02-28","DE-NW","00+","24"
"2021-03-07","DE-NW","00+","27"
"2021-03-14","DE-NW","00+","20"
"2021-03-21","DE-NW","00+","25"
"2021-03-28","DE-NW","00+","29"
"2021-04-04","DE-NW","00+","14"
"2021-04-11","DE-NW","00+","21"
"2021-04-18","DE-NW","00+","18"
"2021-04-25","DE-NW","00+","18"
"2021-05-02","DE-NW","00+","15"
"2021-05-09","DE-NW","00+","20"
"2020-10-04","DE-RP-SL","00+","7"
"2020-10-11","DE-RP-SL","00+","7"
"2020-10-18","DE-RP-SL","00+","4"
"2020-10-25","DE-RP-SL","00+","1"
"2020-11-01","DE-RP-SL","00+","5"
"2020-11-08","DE-RP-SL","00+","6"
"2020-11-15","DE-RP-SL","00+","7"
"2020-11-22","DE-RP-SL","00+","10"
"2020-11-29","DE-RP-SL","00+","7"
"2020-12-06","DE-RP-SL","00+","14"
"2020-12-13","DE-RP-SL","00+","20"
"2020-12-20","DE-RP-SL","00+","7"
"2020-12-27","DE-RP-SL","00+","2"
"2021-01-03","DE-RP-SL","00+","1"
"2021-01-10","DE-RP-SL","00+","9"
"2021-01-17","DE-RP-SL","00+","8"
"2021-01-24","DE-RP-SL","00+","8"
"2021-01-31","DE-RP-SL","00+","11"
"2021-02-07","DE-RP-SL","00+","10"
"2021-02-14","DE-RP-SL","00+","9"
"2021-02-21","DE-RP-SL","00+","12"
"2021-02-28","DE-RP-SL","00+","15"
"2021-03-07","DE-RP-SL","00+","13"
"2021-03-14","DE-RP-SL","00+","24"
"2021-03-21","DE-RP-SL","00+","18"
"2021-03-28","DE-RP-SL","00+","18"
"2021-04-04","DE-RP-SL","00+","5"
"2021-04-11","DE-RP-SL","00+","10"
"2021-04-18","DE-RP-SL","00+","12"
"2021-04-25","DE-RP-SL","00+","15"
"2021-05-02","DE-RP-SL","00+","11"
"2021-05-09","DE-RP-SL","00+","13"
"2020-10-04","DE-SH-HH","00+","2"
"2020-10-11","DE-SH-HH","00+","0"
"2020-10-18","DE-SH-HH","00+","0"
"2020-10-25","DE-SH-HH","00+","0"
"2020-11-01","DE-SH-HH","00+","0"
"2020-11-08","DE-SH-HH","00+","2"
"2020-11-15","DE-SH-HH","00+","2"
"2020-11-22","DE-SH-HH","00+","2"
"2020-11-29","DE-SH-HH","00+","1"
"2020-12-06","DE-SH-HH","00+","3"
"2020-12-13","DE-SH-HH","00+","9"
"2020-12-20","DE-SH-HH","00+","0"
"2020-12-27","DE-SH-HH","00+","1"
"2021-01-03","DE-SH-HH","00+","0"
"2021-01-10","DE-SH-HH","00+","2"
"2021-01-17","DE-SH-HH","00+","6"
"2021-01-24","DE-SH-HH","00+","6"
"2021-01-31","DE-SH-HH","00+","5"
"2021-02-07","DE-SH-HH","00+","8"
"2021-02-14","DE-SH-HH","00+","18"
"2021-02-21","DE-SH-HH","00+","12"
"2021-02-28","DE-SH-HH","00+","8"
"2021-03-07","DE-SH-HH","00+","9"
"2021-03-14","DE-SH-HH","00+","13"
"2021-03-21","DE-SH-HH","00+","11"
"2021-03-28","DE-SH-HH","00+","10"
"2021-04-04","DE-SH-HH","00+","6"
"2021-04-11","DE-SH-HH","00+","3"
"2021-04-18","DE-SH-HH","00+","11"
"2021-04-25","DE-SH-HH","00+","3"
"2021-05-02","DE-SH-HH","00+","9"
"2021-05-09","DE-SH-HH","00+","6"
"2020-10-04","DE-SN","00+","4"
"2020-10-11","DE-SN","00+","4"
"2020-10-18","DE-SN","00+","3"
"2020-10-25","DE-SN","00+","4"
"2020-11-01","DE-SN","00+","0"
"2020-11-08","DE-SN","00+","8"
"2020-11-15","DE-SN","00+","7"
"2020-11-22","DE-SN","00+","3"
"2020-11-29","DE-SN","00+","8"
"2020-12-06","DE-SN","00+","12"
"2020-12-13","DE-SN","00+","21"
"2020-12-20","DE-SN","00+","15"
"2020-12-27","DE-SN","00+","2"
"2021-01-03","DE-SN","00+","1"
"2021-01-10","DE-SN","00+","10"
"2021-01-17","DE-SN","00+","6"
"2021-01-24","DE-SN","00+","4"
"2021-01-31","DE-SN","00+","3"
"2021-02-07","DE-SN","00+","4"
"2021-02-14","DE-SN","00+","3"
"2021-02-21","DE-SN","00+","1"
"2021-02-28","DE-SN","00+","3"
"2021-03-07","DE-SN","00+","4"
"2021-03-14","DE-SN","00+","5"
"2021-03-21","DE-SN","00+","7"
"2021-03-28","DE-SN","00+","10"
"2021-04-04","DE-SN","00+","2"
"2021-04-11","DE-SN","00+","5"
"2021-04-18","DE-SN","00+","7"
"2021-04-25","DE-SN","00+","10"
"2021-05-02","DE-SN","00+","8"
"2021-05-09","DE-SN","00+","1"
"2020-10-04","DE-ST","00+","0"
"2020-10-11","DE-ST","00+","0"
"2020-10-18","DE-ST","00+","0"
"2020-10-25","DE-ST","00+","0"
"2020-11-01","DE-ST","00+","0"
"2020-11-08","DE-ST","00+","0"
"2020-11-15","DE-ST","00+","3"
"2020-11-22","DE-ST","00+","6"
"2020-11-29","DE-ST","00+","4"
"2020-12-06","DE-ST","00+","4"
"2020-12-13","DE-ST","00+","5"
"2020-12-20","DE-ST","00+","1"
"2020-12-27","DE-ST","00+","1"
"2021-01-03","DE-ST","00+","0"
"2021-01-10","DE-ST","00+","0"
"2021-01-17","DE-ST","00+","4"
"2021-01-24","DE-ST","00+","1"
"2021-01-31","DE-ST","00+","0"
"2021-02-07","DE-ST","00+","2"
"2021-02-14","DE-ST","00+","0"
"2021-02-21","DE-ST","00+","3"
"2021-02-28","DE-ST","00+","0"
"2021-03-07","DE-ST","00+","1"
"2021-03-14","DE-ST","00+","0"
"2021-03-21","DE-ST","00+","3"
"2021-03-28","DE-ST","00+","0"
"2021-04-04","DE-ST","00+","0"
"2021-04-11","DE-ST","00+","0"
"2021-04-18","DE-ST","00+","0"
"2021-04-25","DE-ST","00+","7"
"2021-05-02","DE-ST","00+","3"
"2021-05-09","DE-ST","00+","1"
"2020-10-04","DE-TH","00+","8"
"2020-10-11","DE-TH","00+","8"
"2020-10-18","DE-TH","00+","8"
"2020-10-25","DE-TH","00+","0"
"2020-11-01","DE-TH","00+","7"
"2020-11-08","DE-TH","00+","12"
"2020-11-15","DE-TH","00+","6"
"2020-11-22","DE-TH","00+","8"
"2020-11-29","DE-TH","00+","9"
"2020-12-06","DE-TH","00+","18"
"2020-12-13","DE-TH","00+","31"
"2020-12-20","DE-TH","00+","27"
"2020-12-27","DE-TH","00+","19"
"2021-01-03","DE-TH","00+","5"
"2021-01-10","DE-TH","00+","21"
"2021-01-17","DE-TH","00+","24"
"2021-01-24","DE-TH","00+","32"
"2021-01-31","DE-TH","00+","25"
"2021-02-07","DE-TH","00+","25"
"2021-02-14","DE-TH","00+","8"
"2021-02-21","DE-TH","00+","10"
"2021-02-28","DE-TH","00+","19"
"2021-03-07","DE-TH","00+","24"
"2021-03-14","DE-TH","00+","25"
"2021-03-21","DE-TH","00+","31"
"2021-03-28","DE-TH","00+","28"
"2021-04-04","DE-TH","00+","14"
"2021-04-11","DE-TH","00+","14"
"2021-04-18","DE-TH","00+","13"
"2021-04-25","DE-TH","00+","18"
"2021-05-02","DE-TH","00+","18"
"2021-05-09","DE-TH","00+","12"
